,eating_survey.cognitive_restraint,eating_survey.emotional_eating,eating_survey.uncontrolled_eating
s291,22.2222222222,44.4444444444,62.962962963
s292,61.111111111099994,66.6666666667,44.4444444444
s293,38.8888888889,0.0,11.1111111111
s294,11.1111111111,77.7777777778,62.962962963
s295,66.6666666667,11.1111111111,29.6296296296
s296,44.4444444444,33.3333333333,44.4444444444
s297,38.8888888889,88.8888888889,59.2592592593
s298,33.3333333333,100.0,29.6296296296
s299,66.6666666667,33.3333333333,22.2222222222
s301,50.0,44.4444444444,18.5185185185
s302,44.4444444444,44.4444444444,55.5555555556
s303,22.2222222222,0.0,7.4074074074
s304,61.111111111099994,33.3333333333,33.3333333333
s305,61.111111111099994,66.6666666667,62.962962963
s307,22.2222222222,0.0,29.6296296296
s308,72.2222222222,0.0,25.925925925900003
s309,61.111111111099994,0.0,40.740740740700005
s311,50.0,11.1111111111,51.851851851899994
s312,38.8888888889,88.8888888889,62.962962963
s313,100.0,33.3333333333,3.7037037037
s314,27.7777777778,55.5555555556,29.6296296296
s315,55.5555555556,88.8888888889,77.7777777778
s316,66.6666666667,0.0,22.2222222222
s317,16.6666666667,0.0,0.0
s319,33.3333333333,55.5555555556,33.3333333333
s320,44.4444444444,55.5555555556,37.037037037
s321,0.0,100.0,62.962962963
s322,27.7777777778,66.6666666667,37.037037037
s323,77.7777777778,11.1111111111,37.037037037
s324,38.8888888889,0.0,14.8148148148
s325,33.3333333333,0.0,7.4074074074
s326,27.7777777778,33.3333333333,37.037037037
s327,66.6666666667,44.4444444444,62.962962963
s328,16.6666666667,0.0,29.6296296296
s329,44.4444444444,22.2222222222,11.1111111111
s330,22.2222222222,88.8888888889,66.6666666667
s331,38.8888888889,33.3333333333,29.6296296296
s332,16.6666666667,33.3333333333,51.851851851899994
s333,33.3333333333,11.1111111111,37.037037037
s334,0.0,0.0,7.4074074074
s335,5.5555555556,66.6666666667,74.0740740741
s336,27.7777777778,66.6666666667,74.0740740741
s337,16.6666666667,100.0,70.3703703704
s338,66.6666666667,44.4444444444,48.148148148100006
s339,27.7777777778,33.3333333333,33.3333333333
s340,33.3333333333,55.5555555556,70.3703703704
s341,38.8888888889,66.6666666667,44.4444444444
s342,55.5555555556,77.7777777778,66.6666666667
s343,55.5555555556,55.5555555556,33.3333333333
s344,50.0,22.2222222222,29.6296296296
s345,16.6666666667,22.2222222222,40.740740740700005
s346,61.111111111099994,44.4444444444,37.037037037
s347,22.2222222222,22.2222222222,18.5185185185
s348,33.3333333333,11.1111111111,33.3333333333
s349,44.4444444444,33.3333333333,25.925925925900003
s350,61.111111111099994,66.6666666667,51.851851851899994
s351,77.7777777778,33.3333333333,7.4074074074
s352,44.4444444444,88.8888888889,44.4444444444
s353,16.6666666667,0.0,7.4074074074
s354,61.111111111099994,55.5555555556,44.4444444444
s355,38.8888888889,77.7777777778,51.851851851899994
s356,11.1111111111,33.3333333333,51.851851851899994
s357,44.4444444444,0.0,7.4074074074
s358,50.0,55.5555555556,74.0740740741
s359,22.2222222222,0.0,0.0
s360,72.2222222222,0.0,3.7037037037
s362,88.8888888889,0.0,22.2222222222
s363,50.0,22.2222222222,25.925925925900003
s364,83.3333333333,66.6666666667,25.925925925900003
s365,16.6666666667,100.0,81.4814814815
s366,27.7777777778,66.6666666667,74.0740740741
s368,61.111111111099994,55.5555555556,44.4444444444
s369,61.111111111099994,55.5555555556,22.2222222222
s370,22.2222222222,44.4444444444,59.2592592593
s372,72.2222222222,11.1111111111,11.1111111111
s373,38.8888888889,100.0,74.0740740741
s374,61.111111111099994,22.2222222222,29.6296296296
s375,44.4444444444,33.3333333333,25.925925925900003
s376,44.4444444444,33.3333333333,44.4444444444
s377,11.1111111111,0.0,22.2222222222
s378,44.4444444444,0.0,37.037037037
s379,66.6666666667,55.5555555556,37.037037037
s380,50.0,88.8888888889,22.2222222222
s381,55.5555555556,33.3333333333,33.3333333333
s383,55.5555555556,55.5555555556,37.037037037
s384,55.5555555556,0.0,18.5185185185
s386,27.7777777778,11.1111111111,44.4444444444
s387,50.0,33.3333333333,29.6296296296
s388,50.0,55.5555555556,51.851851851899994
s389,66.6666666667,11.1111111111,14.8148148148
s390,22.2222222222,66.6666666667,40.740740740700005
s391,38.8888888889,77.7777777778,48.148148148100006
s392,44.4444444444,0.0,7.4074074074
s393,66.6666666667,66.6666666667,62.962962963
s394,22.2222222222,55.5555555556,55.5555555556
s395,50.0,44.4444444444,25.925925925900003
s396,38.8888888889,66.6666666667,37.037037037
s397,38.8888888889,33.3333333333,40.740740740700005
s398,72.2222222222,0.0,7.4074074074
s399,100.0,0.0,33.3333333333
s400,16.6666666667,0.0,14.8148148148
s401,66.6666666667,55.5555555556,51.851851851899994
s402,44.4444444444,33.3333333333,33.3333333333
s403,16.6666666667,100.0,74.0740740741
s404,33.3333333333,33.3333333333,44.4444444444
s405,11.1111111111,0.0,29.6296296296
s406,77.7777777778,33.3333333333,37.037037037
s407,22.2222222222,44.4444444444,37.037037037
s408,0.0,22.2222222222,25.925925925900003
s409,50.0,33.3333333333,29.6296296296
s410,38.8888888889,0.0,29.6296296296
s411,38.8888888889,0.0,14.8148148148
s412,61.111111111099994,0.0,22.2222222222
s413,50.0,0.0,11.1111111111
s414,0.0,100.0,48.148148148100006
s415,55.5555555556,11.1111111111,22.2222222222
s416,27.7777777778,100.0,81.4814814815
s418,0.0,11.1111111111,51.851851851899994
s419,55.5555555556,55.5555555556,62.962962963
s420,66.6666666667,44.4444444444,14.8148148148
s421,66.6666666667,0.0,3.7037037037
s422,33.3333333333,33.3333333333,14.8148148148
s423,38.8888888889,33.3333333333,14.8148148148
s424,66.6666666667,33.3333333333,33.3333333333
s425,61.111111111099994,55.5555555556,25.925925925900003
s426,50.0,77.7777777778,74.0740740741
s427,66.6666666667,33.3333333333,62.962962963
s428,66.6666666667,33.3333333333,29.6296296296
s429,5.5555555556,88.8888888889,55.5555555556
s430,33.3333333333,0.0,29.6296296296
s431,38.8888888889,44.4444444444,48.148148148100006
s432,38.8888888889,55.5555555556,37.037037037
s433,27.7777777778,77.7777777778,62.962962963
s434,50.0,55.5555555556,33.3333333333
s435,44.4444444444,22.2222222222,11.1111111111
s436,61.111111111099994,33.3333333333,44.4444444444
s438,72.2222222222,66.6666666667,37.037037037
s439,50.0,55.5555555556,29.6296296296
s440,72.2222222222,22.2222222222,22.2222222222
s441,38.8888888889,11.1111111111,33.3333333333
s443,27.7777777778,11.1111111111,25.925925925900003
s444,66.6666666667,55.5555555556,37.037037037
s445,66.6666666667,0.0,44.4444444444
s446,16.6666666667,0.0,25.925925925900003
s447,55.5555555556,66.6666666667,74.0740740741
s448,66.6666666667,55.5555555556,22.2222222222
s449,50.0,100.0,44.4444444444
s450,27.7777777778,66.6666666667,40.740740740700005
s451,33.3333333333,11.1111111111,3.7037037037
s453,61.111111111099994,22.2222222222,25.925925925900003
s454,55.5555555556,0.0,7.4074074074
s455,33.3333333333,33.3333333333,18.5185185185
s456,72.2222222222,66.6666666667,55.5555555556
s457,11.1111111111,0.0,11.1111111111
s458,27.7777777778,66.6666666667,48.148148148100006
s459,27.7777777778,100.0,62.962962963
s460,50.0,66.6666666667,29.6296296296
s461,61.111111111099994,33.3333333333,25.925925925900003
s462,22.2222222222,100.0,74.0740740741
s463,5.5555555556,88.8888888889,62.962962963
s464,27.7777777778,22.2222222222,22.2222222222
s465,66.6666666667,66.6666666667,44.4444444444
s466,38.8888888889,33.3333333333,25.925925925900003
s467,22.2222222222,33.3333333333,37.037037037
s468,66.6666666667,0.0,11.1111111111
s469,38.8888888889,11.1111111111,22.2222222222
s470,44.4444444444,11.1111111111,25.925925925900003
s471,44.4444444444,33.3333333333,40.740740740700005
s472,44.4444444444,33.3333333333,18.5185185185
s473,44.4444444444,22.2222222222,51.851851851899994
s474,44.4444444444,22.2222222222,40.740740740700005
s475,33.3333333333,88.8888888889,81.4814814815
s476,5.5555555556,11.1111111111,11.1111111111
s477,5.5555555556,22.2222222222,33.3333333333
s478,16.6666666667,44.4444444444,25.925925925900003
s479,33.3333333333,0.0,14.8148148148
s480,5.5555555556,0.0,0.0
s481,38.8888888889,88.8888888889,51.851851851899994
s482,61.111111111099994,44.4444444444,29.6296296296
s483,72.2222222222,22.2222222222,11.1111111111
s484,50.0,33.3333333333,29.6296296296
s485,27.7777777778,33.3333333333,48.148148148100006
s486,50.0,11.1111111111,18.5185185185
s488,55.5555555556,44.4444444444,51.851851851899994
s489,94.4444444444,22.2222222222,62.962962963
s490,88.8888888889,88.8888888889,59.2592592593
s491,55.5555555556,33.3333333333,62.962962963
s492,44.4444444444,66.6666666667,33.3333333333
s493,61.111111111099994,11.1111111111,22.2222222222
s494,27.7777777778,0.0,18.5185185185
s495,66.6666666667,55.5555555556,29.6296296296
s496,27.7777777778,0.0,22.2222222222
s497,27.7777777778,11.1111111111,11.1111111111
s498,88.8888888889,0.0,25.925925925900003
